index,song_id,song_name,recommendation
54,6f3hS7nhvveOJy8iLZWNud,You Deserve the Glory,"['0hLbjFiF7zmGuZJrpLOJ7F', '5ONbCAFFnAJ0YGClEeddcU', '7eP2WuhwRgLFDCmOGdrgHc', '3pJnfyKoVePwVmljB6Wun1', '5cmaNzw6Zsk5vKOPf46zF5']"
55,7IJsXawsFrWU7KC4Kr7lQy,Darker,"['7HPTRHmlMycxLC93ZQS6DJ', '5rI0lmvmena4CW3C4zwZ4v', '3Q2M6sNKDwoqZGBvwdFqZr', '6ujI5tE2O7PIBtG7A7ZdQN', '55bFnrLvc4tUvHVngYhMV3']"
56,0MUXUGM0qh4lqWWQ9vvytv,I Think I Lost My Headache,"['7sli4nxk0y6nZbZ7U8c6Dy', '46NVdDmeMseP3CRW75f2RS', '1naya1zQEQpZ6znRcohDgI', '5fl9iJbPf5ZPenmUJxH2k9', '3YlFtz805JwhDGy0fLasBO']"
57,1b8V0hvwAP8dO4xxrvvoXK,De Mi Mente,"['5wxurz8J6YlyQRNnGN8zXS', '06Pvy98db25O7wlfFFFIRM', '3RuyJMim9bt3uhbAPd38xJ', '2RLxaX5gVSekX9hjnu81DT', '6e0CvGZf7CouOpYF8toXHC']"
58,5ilUK78Mc8Z7MXvVy3jTmw,The Plug,"['2qnTfUToQMjpy3IaojoBBD', '1fEO7Eq0wHpFdGaZV4NitC', '45yPqVg5dHBwsEK1Z72DwW', '1d7JxHZOrvrEHtmZC2hSnj', '1Qy1eRka08FJ0Bhz7ZenYS']"
59,0IbTukfZdB91gclEXUQZkH,Around the World (La La La La La) - Radio Version,"['4I2uRBguWbYidzYUdTjKxZ', '0uihaAV3Pq9jqb5EtCLHnO', '5s53KI8m2qnabzTumD7lfb', '4lNxqz6p4U85gDmSm68RcT', '0CF1RH8dQKuK2lQPSQw2lZ']"
60,0rHIXD2GmjixirvBfTUV2b,Vecchio frack,"['4HVoKfOeEo3wNVcyzFNsg4', '4FGpzz2ciXUCya6sW5M7qf', '5AgBvCkNGaJ3hwale3QSDj', '16MS3yh0e9AaKh7XQdaw6g', '6EcFGkWSXRFr4GsErroGWT']"
61,5hHCQ0jbaBDiE5fIKzYf7W,Wrong Idea,"['7wb7R141Fp1oRitCNhKsyu', '2biG396b4oY4gHJJRtjUIo', '73681b7Hc0THHGZrSzl75y', '1FpAKPGuR8SoIUw5t0I5vn', '2zSpaFB7e0Yo1QKsDQ22Ol']"
62,6q61Aa2HZkqLW5zFrij5ZK,By My Side,"['5tHSY6tZR411ZTOTh2g2ks', '060SIy6PC30dMWw6wI6292', '67bVDuhVNpGahHOJGsv8BQ', '7eNip30quUAoZMiiUst9d9', '4YDdWcdzHhLDZ5d1j9nRaJ']"
63,1SNF1IdMuKPDhw9HTrdcvM,勇氣,"['03s21IQnj5v3w4Cgq5PtKw', '0TzeZppPwhEhySYaNRulr9', '2irqrKVmSpdKCyDmMW0OE3', '3GSBRBIbOp4lxgqbiBmlXv', '24rFwAcC6eqPvyMuPynVGH']"
