index,song_name,recommendation
67,Somebody Gotta Be On Top,"['Childs Play', 'Reply (feat. Lil Uzi Vert)', 'Modest', 'no eres tu(soy yo)', 'Bass Ackwards']"
68,The Late John Garfield Blues,"['crush on you', 'Belief', 'Special Victims And Ice-T', 'Old Devil Moon', 'Silver Bells']"
69,Cuando una Mujer - Balada,"['My Mistake (feat. Trippz Michaud)', 'Heavy', 'Sin Tu Amor', 'My Desire', 'Good Good Father - Live']"
70,Corazón Partío,"['Backwoods', 'The Last Mall', '4 Min Convo (Favorite Song)', 'Waterloo Sunset', 'Limos']"
71,Close To You,"['Mi Nena', 'Sunday Morning', 'The Jealous Kind', 'LIFE', 'Head over Feet']"
72,Wrap Sumden,"['Cosas del Amor', 'THISKIDSNOTALRIGHT', 'Muévelo', 'And July', 'Angel In The Night']"
73,Severed,"['Just Like A Movie', ""She Won't Be Lonely Long"", 'Blame', 'Young Love', 'Operate']"
74,Stoned Soul Picnic,"['Proud Corazón', 'My Whole Family... (live)', 'One Little Christmas Tree', 'Banded Clovis', 'Malaguena Salerosa']"
75,Kicking Cars,"['Te Vas', 'Here You Come Again', 'Tus Besos', 'Third Eye Sh*t', 'Con Que Derecho']"
76,Great is the Lord,"['Canon in D', 'Through The Dark', 'Patience', 'Theme from Beauty and the Beast', 'Two Sleepy People']"
77,Hold On,"['She Is', 'Crash', 'More Of You', 'The Truth Is... (I Lied About Everything)', 'Animals']"
78,Pinball Song,"['Mas Que Tu Amigo', 'Synthetic World', 'Slumber', 'Get Crunk', 'Girlfriend (feat. Nelly) - The Neptunes Remix']"
79,Lo Doy Todo Por Ti,"['Stand by Him', 'gogobebe', 'Put Your Hearts Up', 'Real Love', 'AYA']"
80,Y'All Gone Miss Me,"['Hey DJ', 'driveway', 'Coolin and Booted', 'Silvia', 'We Do It For Fun Pt.1']"
81,And The Green Grass Grows All Around,"['Stairway to Heaven (Live At The Kennedy Center Honors)', 'El Primer Lugar', 'The Rabbit, the Bat, & the Reindeer', 'A Song Dedicated to the Memory of Stormy the Rabbit', 'Hipocresía']"
82,The Rainbow Song,"['Moonlight', 'When Someone Stops Loving You', 'Dead Mom', ""I'm The Man - Remix"", 'Anxiety']"
83,I'm Your Problem Now,"['Down Me', 'Mi Amor', 'Nothing Was the Same', 'Deception', 'Invincible']"
84,Last Flight Out,"['The Saints Are Coming', '愛如潮水', 'Thru These Tears', 'One I Want (feat. PARTYNEXTDOOR)', 'if we never met (feat. Kelsea Ballerini)']"
85,Virtue,"[""Mary's Boy Child"", 'Me and My Cello (Happy Together)', 'Winter Wonderland (feat. Jack Jezzro)', 'Joy To The World', 'Sorry Bro']"
86,(Rap) Superstar,"['Deeply Scared', 'Forgive', 'Bad Company (feat. BlocBoy JB)', 'Original', 'Moolah']"
87,Callin' Me,"['Shine Your Way', 'Take Flight', 'Nephew (feat. Lil Pump)', 'Dulce Soledad', 'Tilt-A-Whirl']"
88,"Green Christmas - From ""Dr. Seuss' How The Grinch Stole Christmas"" Soundtrack","['Hello Good Morning', 'Like Gold', 'Medley', 'Niggas', 'I Got (feat. Pimp C & Project Pat) - Explicit Album Version']"
89,Highschool Lover,"['Clair de Lune', 'Brain X 1000', 'Haunt Muskie', 'Patience', 'Your Hand In Mine - From ""Friday Night Lights"" Soundtrack / With Strings']"
90,I Promise You (With Everything I Am),"['Commander In Chief', 'Tu Eres Mi Respirar', 'All I Got', 'Squidrific', '2:00 AM']"
91,Parking Lot Pimpin',"['Leaders (feat. NAV)', 'Like Gold', 'Heart Afire', 'Niggas', 'Arrinconamela']"
92,Wild World,"['Tortured, Tangled Hearts', 'Crush', 'Soñador Eterno', 'Daybreak', 'Willow Tree']"
93,Where Have You Been,"['For You', 'Wrong', 'Jesus', 'SUBURBIA', 'All Bad (feat. Lil Uzi Vert)']"
94,Dead Already,"['Let It Snow! Let It Snow! Let It Snow!', 'Goodbye (with Soap & Skin)', 'Alone', 'Noctuary', 'The Poop Song']"
95,What Makes a Man,"['Porsches In The Rain', 'Bon appétit', 'Banned from TV', 'Good Goodbye (feat. Pusha T and Stormzy)', 'No Te Creo']"
96,Homebase,"['Grapefruit', '11:58', 'Paris', 'Turn up the Speakers - Radio Edit', 'Faxing Berlin - Piano Acoustica Version']"
97,Atlantic City,"['Hey Baby', 'Desperate Man', ""I'll Fly Away"", 'Going Down - Radio Edit', 'Album of the Year - Freestyle']"
98,Qué Rico,"['El Paso del Gigante', 'Desperate Man', ""I'll Fly Away"", 'Going Down - Radio Edit', 'Hey Baby']"
99,O Quizás Simplemente Le Regale una Rosa,"['Understood', 'Stand by Me', 'So Much I', 'Guilty', 'Dil Luteya']"
100,The Lion King: Can You Feel the Love Tonight (arr. for orchestra),"['The Ride of the Rohirrim', 'Into Some Spirit World', 'Symbols', 'Says', 'The Nutcracker - Ballet, Op.71, Act II: No. 10 - The Kingdom of Sweets']"
101,Ill Bomb,"['Thunderheads', 'Don\'t Call It Love - 12"" Version', 'Entertainment', 'Open Your Eyes', 'Voodoo Too']"
102,Timmy and The Lords Of The Underworld,"['Piece Of Me', 'On My Mind', 'Untouchable (feat. Logic, Kirk Knight)', 'Hello Tomorrow', 'Business Man']"
103,In the Bath,"['Friend of the Devil', 'Together', 'Alone', 'Motherboard', 'Goodbye (with Soap & Skin)']"
104,Borracho Te Recuerdo,"['The Engine Driver', 'Fall Line', 'Play Something We Know', 'Only You Freestyle', 'Ajustando Cuentas']"
105,Sneak a Peek,"['Take My Head', 'Down Under - Acoustic Version', '2 Hold U', 'Cocaine Country Dancing', 'New York City']"
106,If I Was the One,"['Dead Mom', 'This Feeling', 'Look At You Girl', 'Face In The Crowd', 'Lavender and Velvet']"
107,First Time,"['Perfect Places', 'So What', 'You and Me', 'Underdog', 'Feels Like Forever']"
108,Burn,"['556', 'I Sip', 'Back On The Map', 'Im a Dog (feat. Gucci Mane)', '我很好那麼你呢?']"
109,Neend Churayee Meri,"['M.I.A.', 'One Margarita', 'All Alright', '1st Time (feat. Marques Houston)', 'How to Make Gravy']"
110,Good Morning,"['Setting Yourself Up For Sarcasm', 'LIFE', 'Casting Agents and Cowgirls', '소방차 Fire Truck', 'Guítarra']"
111,Down The Road I Go,"['BLACKJACK', 'Stillness Is The Move', 'Mendocino County Line', 'Count The Ways', 'Bellaquita - Remix']"
112,A Different Feeling,"['The Train', 'Hello Euphoria', 'Born Slippy (Nuxx)', 'Talking', 'American Cliche']"
113,Never Going Back Again,"['We Wish You a Merry Christmas (Live)', 'Hoist That Rag', 'Rise To The Sun', 'Descansa Mi Amor', 'The Masochism Tango']"
114,I Will Love Again,"['Mamita (feat. Natalia Lafourcade)', 'Clockwork', 'Not Friendly', 'Stay', 'Me and My Friends Are Lonely']"
115,Yolanda,"['HER', '10 Lovers', '1965', 'El Paso del Gigante', 'Baggage Claim - Radio Edit']"
116,West Coast Blues,"['God Only Knows - EP Version', 'Renuévame', 'Story Of An Artist', 'Southern Constellations', 'Dunes']"
117,En Dos,"['Flor Hermosa (Eres Flor, Eres Hermosa)', ""Don't Worry Baby"", 'Deeper', 'Para Qué Tantos Besos', 'El Muletas (En Vivo)']"
118,Jugando Al Amor,"['Gangsta', 'go with u - Louis La Roche Remix', ""We're Beautiful"", 'Million Voices', 'Moonlight']"
119,Tu inolvidable sonrisa - Con banda,"['La Canoa Ranchaa', 'Mi Virgencita', 'Las Monjitas', 'No Quería Engañarte', 'Santa Claus Llegó a La Ciudad']"
120,I Think It's Better,"['Hand-Made', 'Beso Tus Pies', ""I'll Be Home For Christmas (If Only In My Dreams)"", 'I Believe', 'Mr. Greives']"
121,Leave,"['Never', 'Pencil Full of Lead', 'MET GALA', 'Somos Más Americanos', 'Upper West Side']"
122,Down Poison,"['Predictable', 'Dogwood', 'Dile A Ella', 'Rock City', 'Man I Think I Love Her']"
123,Полковнику никто не пишет,"['What We Live For', 'Like Gold', 'Before the Lobotomy', 'Rapture (feat.Nadia Ali)', 'Medley']"
124,거짓말 Lie,"['Déjà vu', 'Take Me Back to London (feat. Stormzy)', 'Eye of the Tiger', 'Fire And The Thud', 'More Love']"
125,Guilty Until Proven Innocent,"['Many of Horror', ""What's Free (feat. Rick Ross & Jay Z)"", 'The Violence', ""Don't Say Goodbye (feat. Tove Lo)"", 'Young Love']"
126,El Hijo De La Huesuda,"['Santa Claus Llegó a La Ciudad', 'Navidad, Navidad', 'Kajra Re', 'North Side Gal', 'Angeleyes']"
127,Abusadora,"['Hot 2 Nite', 'Detrás de Mi Ventana - Banda', 'Mannequin (feat. Lil Tjay)', 'Patacón Pisao', 'Sway']"
128,Hold Out,"['Ghost', ""Don't Do Sadness/Blue Wind - Original Broadway Cast Recording/2006"", 'Chariot Of Fire', ""Akoy Sa'Yo"", ""Forever Ain't Enough""]"
129,The Little Mermaid: Under the Sea (arr. for orchestra),"['White Privilege', 'Home For The Holidays (feat. Jack Jezzro)', 'Beastly', 'Omae Wa Mou', 'Attaboy']"
130,What People Are Made Of,"['The Last High', ""Me, I'm Not"", 'Corazón Enamorado', 'Sister of Pearl', 'Favorite Record']"
131,Y'all Don't Wanna,"['Luh You', 'Put Your Hearts Up', 'Gone Going', 'High (& Dua Lipa)', 'Bellaquita - Remix']"
132,When You Praise,"['Cold Beer Conversation', 'Untitled (How Does It Feel)', '奏(かなで)', ""He's Fine"", 'Three Year Old']"
133,Of Greetings And Goodbyes,"['Down with the Sickness', 'Dear Rosemary', 'Shiver Shiver', 'Medicate', 'Exceptional']"
134,Ghost Deini (feat. Superb),"['Notice', 'Streets of Gold', 'The Yeah Yeah Yeah Song', 'Amaranthine', 'Appreciated']"
135,In My Eyes,"['Change On Me', 'Entertainment', 'Walk in the Park', 'After the Disco', 'Thunderheads']"
136,Steal The Show,"['Lane Changing', 'Bloody Mary', 'Mother Superior', 'Swinging Doors', 'One Of Those Nights']"
137,The Riddle Song,"['One Summer Night', 'Can You Feel the Love Tonight', 'Dear God - Live', 'No One - Acoustic', 'All My Hope']"
138,Light Years,"['Eyes Without A Face - Remastered', 'Weekend', 'Sadistic Magician', 'Fury', 'If You Leave - From ""Pretty In Pink""']"
